REF_DATE,GEO,DGUID,Categories,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1990-01,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,89.59,NA,NA,NA,2
1990-01,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,82.16,NA,NA,NA,2
1990-01,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,361294,NA,NA,NA,0
1990-01,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,92744,NA,NA,NA,0
1990-01,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,29953,NA,NA,NA,0
1990-01,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,238597,NA,NA,NA,0
1990-01,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,13002,NA,NA,NA,0
1990-01,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,2492,NA,NA,NA,0
1990-01,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,1311,NA,NA,NA,0
1990-01,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,9199,NA,NA,NA,0
1990-04,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,93.99,NA,NA,NA,2
1990-04,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,86.33,NA,NA,NA,2
1990-04,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,369061,NA,NA,NA,0
1990-04,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,94107,NA,NA,NA,0
1990-04,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30088,NA,NA,NA,0
1990-04,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,244866,NA,NA,NA,0
1990-04,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,7964,NA,NA,NA,0
1990-04,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,1446,NA,NA,NA,0
1990-04,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,242,NA,NA,NA,0
1990-04,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,6276,NA,NA,NA,0
1990-07,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,92.41,NA,NA,NA,2
1990-07,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,84.87,NA,NA,NA,2
1990-07,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,374234,NA,NA,NA,0
1990-07,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,94861,NA,NA,NA,0
